mpx5500_pressure_hpa,rh_temp_c,humidity_pct,lpl_signal,mpl_signal,spl_signal,ch4_conc_mol_m3,co2_conc_mol_m3
1792.55,14.92,4.42,37048468,1434015,1158817,230.44032335878057,51050.169235337824
1830.56,14.95,4.42,37058746,1434235,1162102,233.5380414529776,51736.4164625903
1874.01,14.98,4.43,37067434,1434252,1163479,237.0818483868519,52521.48715280097
1901.16,15.0,4.43,37075874,1434351,1165211,239.29480171196553,53011.72965945231
1944.61,15.0,4.44,37075874,1434508,1165211,242.86267689190925,53802.13226387457
1966.33,15.0,4.45,37075874,1434648,1168332,244.64620390936335,54197.242610665184
2053.22,15.0,4.45,37103468,1434629,1168689,251.78113312421522,55777.86590866866
2091.23,15.0,4.46,37101319,1434013,1170306,254.9023054047598,56469.309015552215
2123.82,15.11,4.48,37101319,1434651,1172298,257.4801251663173,57040.381530846425
2145.54,15.13,4.48,37130720,1434906,1172175,259.2449847041835,57431.35641220169
2161.83,15.16,4.47,37136257,1434995,1173492,260.5549119804431,57721.54871953899
2178.13,15.18,4.47,37139539,1435285,1174302,261.8744694224781,58013.874427773466
2183.56,15.19,4.47,37142542,1435351,1177155,262.31097522405133,58110.57493017567
2194.42,15.19,4.47,37145374,1435417,1176082,263.2021511102957,58307.99992571516
2205.28,15.21,4.47,37154686,1435510,1176264,264.0750100783131,58501.3671167796
2199.85,15.22,4.47,37156377,1435888,1175922,263.6203109847158,58400.636197203705
2199.85,15.22,4.48,37163684,1436108,1178604,263.6203109847158,58400.636197203705
2194.42,15.22,4.47,37165847,1436327,1172989,263.17476939744995,58301.933968792546
2194.42,15.27,4.45,37165847,1436448,1179222,263.1291458676328,58291.82684481211
2199.85,15.28,4.45,37165815,1436487,1178135,263.5654719642981,58388.48753662115
2259.59,15.29,4.45,37165815,1435417,1179439,268.4569227372168,59472.10600288689
2265.02,15.31,4.48,37167123,1435984,1183493,268.8837122021864,59566.65401469745
2232.43,15.31,4.49,37180233,1436472,1180846,266.2104764743173,58974.44370044098
2156.4,15.34,4.49,37180233,1437748,1182906,259.9469854953784,57586.872854252695
2118.39,15.34,4.46,37191726,1437869,1179717,256.82949167362057,56896.2446479076
2064.08,15.36,4.46,37173089,1437329,1181348,252.35761382545596,55905.57549061291
2020.64,15.36,4.45,37158313,1437115,1184615,248.79501072622625,55116.34082680429
1988.05,15.36,4.43,37149504,1437002,1184615,246.12223828138514,54524.23314509335
1966.33,15.36,4.42,37140586,1436972,1179090,244.34093673177026,54129.61581318904
1939.18,15.36,4.41,37137269,1436777,1177784,242.11430979475168,53636.34414830865
1890.3,15.36,4.41,37125786,1436904,1176006,238.10556118769946,52748.27346766949
1857.72,15.36,4.4,37121254,1436710,1176556,235.43360886327716,52156.34746981303
1803.41,15.36,4.39,37121254,1436636,1175652,230.97953486882122,51169.62245619779
1781.69,15.36,4.38,37108528,1436588,1174667,229.19823331920634,50775.00512429347
1759.97,15.36,4.37,37106688,1436542,1172568,227.41693176959149,50380.38779238917
1743.67,15.36,4.37,37103430,1436660,1174243,226.08013548696152,50084.24310960646
1694.8,15.36,4.35,37103430,1436623,1174243,222.07220700032812,49196.35411282177
1656.78,15.36,4.35,37093456,1436523,1173182,218.9541091680833,48505.592098134766
1645.92,15.36,4.33,37090738,1436493,1177057,218.06345839327585,48308.2834321826
1624.2,15.36,4.32,37091175,1436482,1172775,216.28215684366103,47913.6661002783
1602.48,15.36,4.31,37086520,1436623,1174772,214.50085529404615,47519.04876837399
1580.75,15.36,4.31,37087531,1436484,1178323,212.7187336240125,47124.24975261521
1564.46,15.36,4.3,37087722,1436484,1172611,211.38275746180136,46828.28675368698
1521.02,15.36,4.3,37087722,1436674,1172629,207.8201543625716,46039.05208987836
1493.86,15.36,4.28,37087464,1436556,1172629,205.59270730513424,45545.5987411435
1477.57,15.37,4.26,37085145,1436683,1174242,204.24965167768175,45248.06740602568
1434.13,15.37,4.25,37085145,1436811,1174242,200.6871720570012,44458.86009680821
