mpx5500_pressure_hpa,rh_temp_c,humidity_pct,lpl_signal,mpl_signal,spl_signal,ch4_conc_mol_m3,co2_conc_mol_m3,ch4_ppm,co2_ppm
1971.76,15.93,3.99,37118933,1452334,1204696,223.0524647318766,47144.43491465581,1.79608,379.62
1971.76,15.95,3.99,37118472,1452384,1206319,223.03703391453092,47141.17345253788,1.79608,379.62
1977.19,15.96,3.99,37118647,1452350,1205799,223.43506355518903,47225.30111510672,1.79608,379.62
1971.76,15.96,3.99,37119314,1452338,1205492,223.0293193064608,47139.542890694545,1.79608,379.62
1971.76,15.97,3.99,37121996,1452455,1206248,223.021605232052,47137.912441646025,1.79608,379.62
1971.76,15.98,3.99,37120500,1452355,1205625,223.0138916912492,47136.282105380626,1.79608,379.62
1971.76,15.98,3.99,37120855,1452318,1205534,223.0138916912492,47136.282105380626,1.79608,379.62
1971.76,15.99,3.99,37121850,1452253,1204207,223.00617868399695,47134.651881886624,1.79608,379.62
1971.76,15.99,4.0,37119962,1452416,1204207,223.00617868399695,47134.651881886624,1.79608,379.62
1971.76,16.0,4.0,37125455,1452340,1208007,222.99846621023997,47133.021771152344,1.79608,379.62
1971.76,16.02,4.0,37123802,1452251,1207793,222.98304286299023,47129.76188791611,1.79608,379.62
1971.76,16.03,3.99,37125784,1452318,1207768,222.97533198938683,47128.13211539076,1.79608,379.62
1971.76,16.04,4.0,37123951,1452305,1204731,222.9676216490573,47126.50245557833,1.79608,379.62
1971.76,16.05,4.0,37125872,1452185,1208523,222.9599118419463,47124.87290846715,1.79608,379.62
1971.76,16.05,4.0,37128681,1452257,1209044,222.9599118419463,47124.87290846715,1.79608,379.62
1971.76,16.07,4.0,37129605,1452257,1209044,222.94449382715888,47121.614152301714,1.79608,379.62
1971.76,16.07,4.0,37128455,1452121,1210341,222.94449382715888,47121.614152301714,1.79608,379.62
1966.33,16.09,4.0,37130882,1452196,1209278,222.52351605912415,47032.636166743534,1.79608,379.62
1971.76,16.1,4.0,37130882,1452196,1208676,222.92137080273423,47116.726863020565,1.79608,379.62
1971.76,16.12,4.0,37132802,1452168,1210570,222.905958117644,47113.46923334151,1.79608,379.62
1971.76,16.12,4.01,37135452,1452171,1211355,222.905958117644,47113.46923334151,1.79608,379.62
1971.76,16.14,4.01,37136849,1452132,1209765,222.8905475636589,47110.21205409347,1.79608,379.62
