mpx5500_pressure_hpa,rh_temp_c,humidity_pct,lpl_signal,mpl_signal,spl_signal,ch4_ppm,co2_ppm
1993.48,18.1,8.19,37658358,1423888,1290927,2.2981,450.1
1993.48,18.11,8.18,37658358,1423888,1295959,2.2981,450.1
1993.48,18.12,8.18,37664342,1423888,1295959,2.2981,450.1
1993.48,18.14,8.14,37664342,1424318,1293601,2.2981,450.1
1993.48,18.16,8.1,37674309,1424457,1297244,2.2981,450.1
1993.48,18.16,8.09,37674309,1424551,1297352,2.2981,450.1
1993.48,18.18,8.07,37675212,1424703,1298307,2.2981,450.1
1993.48,18.19,8.06,37678323,1424749,1298307,2.2981,450.1
1993.48,18.2,8.04,37679092,1424791,1299429,2.2981,450.1
1993.48,18.21,8.04,37680178,1424832,1299670,2.2981,450.1
1993.48,18.21,8.04,37680178,1424897,1300635,2.2981,450.1
1993.48,18.23,8.01,37680178,1425047,1300635,2.2981,450.1
1993.48,18.25,7.98,37688241,1425047,1300635,2.2981,450.1
1993.48,18.25,7.97,37690570,1425298,1300635,2.2981,450.1
1993.48,18.28,7.95,37690570,1425505,1303467,2.2981,450.1
1993.48,18.3,7.92,37690570,1425530,1302673,2.2981,450.1
1993.48,18.31,7.91,37698798,1425654,1303853,2.2981,450.1
1988.05,18.32,7.9,37700091,1425519,1304091,2.2981,450.1
1993.48,18.33,7.88,37700091,1425797,1304810,2.2981,450.1
1993.48,18.35,7.86,37704568,1425883,1306751,2.2981,450.1
1993.48,18.36,7.83,37706817,1425902,1303350,2.2981,450.1
1993.48,18.38,7.84,37706817,1425918,1310473,2.2981,450.1
1993.48,18.39,7.81,37706817,1425918,1308835,2.2981,450.1
1993.48,18.4,7.79,37711221,1426101,1308263,2.2981,450.1
1993.48,18.4,7.78,37713748,1426054,1308263,2.2981,450.1
1993.48,18.4,7.77,37714849,1426298,1306535,2.2981,450.1
